episode,reward,win,wrong_guesses,repeated_guesses,episode_length
694,30,1,5,0,6
695,55,1,4,0,9
696,-55,0,6,0,7
697,35,1,4,0,5
698,-60,0,6,0,6
699,-60,0,6,0,6
700,-60,0,6,0,6
701,60,1,1,0,3
702,40,1,5,0,8
703,60,1,0,0,2
704,-60,0,6,0,6
705,-60,0,6,0,6
706,60,1,2,0,5
707,70,1,1,0,6
708,-55,0,6,0,7
709,-55,0,6,0,7
710,45,1,5,0,8
711,45,1,4,0,7
712,60,1,3,0,8
713,-55,0,6,0,7
714,-55,0,6,0,7
715,50,1,4,0,8
716,-55,0,6,0,7
717,-60,0,6,0,6
718,-50,0,6,0,8
719,-60,0,6,0,6
720,50,1,4,0,8
721,65,1,1,0,4
722,55,1,3,0,7
723,45,1,4,0,7
724,-55,0,6,0,7
725,-55,0,6,0,7
726,-60,0,6,0,6
727,-60,0,6,0,6
728,-60,0,6,0,6
729,45,1,3,0,5
730,55,1,2,0,4
731,-55,0,6,0,7
732,-60,0,6,0,6
733,50,1,2,0,4
734,-60,0,6,0,6
735,40,1,3,0,4
736,-60,0,6,0,6
737,60,1,3,0,8
738,-60,0,6,0,6
739,-60,0,6,0,6
740,70,1,1,0,5
741,50,1,3,0,6
742,50,1,4,0,7
743,65,1,2,0,7
744,45,1,2,0,3
745,35,1,5,0,7
746,65,1,1,0,5
747,55,1,2,0,5
748,55,1,2,0,5
749,70,1,0,0,4
750,-55,0,6,0,7
751,-55,0,6,0,7
752,50,1,4,0,8
753,-60,0,6,0,6
754,60,1,3,0,8
755,55,1,4,0,8
756,-60,0,6,0,6
757,45,1,4,0,7
758,-55,0,6,0,7
759,65,1,1,0,5
760,-55,0,6,0,7
761,-55,0,6,0,7
762,70,1,1,0,6
763,45,1,5,0,9
764,35,1,4,0,5
765,55,1,4,0,9
766,-55,0,6,0,7
767,70,1,1,0,5
768,65,1,2,0,7
769,-60,0,6,0,6
770,-60,0,6,0,6
771,-55,0,6,0,7
772,70,1,1,0,5
773,-60,0,6,0,6
774,65,1,2,0,6
775,-50,0,6,0,8
776,-55,0,6,0,7
777,-45,0,6,0,9
778,-60,0,6,0,6
779,-60,0,6,0,6
780,45,1,5,0,8
781,-60,0,6,0,6
782,45,1,4,0,7
783,50,1,4,0,8
784,-60,0,6,0,6
785,-60,0,6,0,6
786,45,1,5,0,8
787,55,1,2,0,5
788,-50,0,6,0,8
789,-60,0,6,0,6
790,-60,0,6,0,6
791,-55,0,6,0,7
792,50,1,4,0,8
793,45,1,3,0,5
794,-55,0,6,0,7
795,55,1,3,0,7
796,40,1,5,0,7
797,35,1,5,0,7
798,-60,0,6,0,6
799,-50,0,6,0,8
800,-50,0,6,0,8
801,-50,0,6,0,8
802,-55,0,6,0,7
803,50,1,3,0,6
804,45,1,4,0,7
805,-45,0,6,0,8
806,-55,0,6,0,7
807,-60,0,6,0,6
808,-60,0,6,0,6
809,-60,0,6,0,6
810,60,1,2,0,6
811,-60,0,6,0,6
812,55,1,3,0,7
813,-60,0,6,0,6
814,55,1,4,0,8
815,-55,0,6,0,7
816,60,1,1,0,4
817,-45,0,6,0,9
818,50,1,5,0,9
819,45,1,5,0,9
820,-60,0,6,0,6
821,45,1,5,0,9
822,-50,0,6,0,8
823,-55,0,6,0,7
824,55,1,0,0,1
825,60,1,3,0,8
826,-60,0,6,0,6
827,55,1,0,0,1
828,50,1,5,0,10
829,50,1,2,0,4
830,-60,0,6,0,6
831,-55,0,6,0,7
832,30,1,5,0,6
833,-55,0,6,0,7
834,-50,0,6,0,8
835,55,1,3,0,7
836,-55,0,6,0,7
837,-60,0,6,0,6
838,-50,0,6,0,8
839,-60,0,6,0,6
840,40,1,3,0,4
841,70,1,0,0,3
842,55,1,4,0,9
843,-60,0,6,0,6
844,70,1,1,0,6
845,-55,0,6,0,7
846,60,1,2,0,6
847,-60,0,6,0,6
848,-60,0,6,0,6
849,-60,0,6,0,6
850,55,1,0,0,1
851,-60,0,6,0,6
852,-60,0,6,0,6
853,60,1,0,0,2
854,40,1,3,0,4
855,45,1,5,0,9
856,45,1,3,0,5
857,60,1,2,0,5
858,55,1,1,0,3
859,-55,0,6,0,7
860,60,1,1,0,4
861,40,1,3,0,4
862,30,1,5,0,6
863,-60,0,6,0,6
864,-60,0,6,0,6
865,35,1,5,0,7
866,-60,0,6,0,6
867,-60,0,6,0,6
868,45,1,4,0,7
869,-60,0,6,0,6
870,45,1,4,0,7
871,50,1,4,0,8
872,50,1,5,0,9
873,-60,0,6,0,6
874,50,1,5,0,10
875,-50,0,6,0,8
876,60,1,1,0,4
877,-55,0,6,0,7
878,-55,0,6,0,7
879,50,1,2,0,4
880,65,1,2,0,6
881,60,1,3,0,8
882,-55,0,6,0,7
883,70,1,1,0,5
884,-40,0,6,0,10
885,40,1,3,0,4
886,-60,0,6,0,6
887,70,1,1,0,6
888,-50,0,6,0,8
889,-60,0,6,0,6
890,35,1,5,0,7
891,60,1,3,0,8
892,65,1,2,0,6
893,45,1,3,0,5
894,30,1,5,0,6
895,30,1,5,0,6
896,60,1,3,0,8
897,-55,0,6,0,7
898,-60,0,6,0,6
899,-50,0,6,0,8
900,-50,0,6,0,8
901,50,1,4,0,7
902,-45,0,6,0,9
903,-60,0,6,0,6
904,45,1,5,0,9
905,55,1,4,0,8
906,-60,0,6,0,6
907,60,1,2,0,6
908,-60,0,6,0,6
909,-60,0,6,0,6
910,45,1,3,0,5
911,-55,0,6,0,7
912,50,1,2,0,4
913,-50,0,6,0,8
914,-60,0,6,0,6
915,50,1,2,0,4
916,-60,0,6,0,6
917,-60,0,6,0,6
918,50,1,5,0,10
919,-55,0,6,0,7
920,-60,0,6,0,6
921,40,1,5,0,7
922,-60,0,6,0,6
923,-60,0,6,0,6
924,40,1,4,0,6
925,-55,0,6,0,7
926,-60,0,6,0,6
927,35,1,4,0,5
928,35,1,4,0,5
929,50,1,2,0,4
930,-55,0,6,0,7
931,-60,0,6,0,6
932,-60,0,6,0,6
933,-60,0,6,0,6
934,30,1,5,0,6
935,-55,0,6,0,7
936,-50,0,6,0,8
937,60,1,2,0,5
938,-60,0,6,0,6
939,-45,0,6,0,9
940,50,1,2,0,4
941,-50,0,6,0,7
942,-40,0,6,0,10
943,-50,0,6,0,8
944,-60,0,6,0,6
945,70,1,1,0,6
946,35,1,4,0,5
947,-55,0,6,0,7
948,-60,0,6,0,6
949,-55,0,6,0,7
950,45,1,4,0,7
951,-60,0,6,0,6
952,55,1,2,0,4
953,70,1,1,0,4
954,-60,0,6,0,6
955,55,1,2,0,5
